Bird.species.code,Bodymass.g,Bill.width.mm,Kipp_index
Pionus_tumultuosus,239,15.56,0.337317
Pipile_cumanensis,1242,18.69,0.154218
Pipra_chloromeros,16.5,10.03,0.164715
Pipra_fasciicauda,15.9,9.3,0.175401
Pipraeidea_melanonota,21,7.66,0.273045
Pipreola_arcuata,118,17.64,0.183725
Pipreola_frontalis,42.4,13.42,0.193182
Pipreola_intermedia,51,13.52,0.164975
Piranga_leucoptera,16,9.7,0.213333
Porphyrolaema_porphyrolaema,60,12.54,0.236641
Primolius_couloni,250,20.66,0.406396
Psarocolius_angustifrons,218.5,17.3,0.253749
Psarocolius_atrovirens,152,15.91,0.254451
Psarocolius_bifasciatus,405,16.62,0.250281
Psarocolius_decumanus,216,17.74,0.282051
Pteroglossus_azara,148,26.85,0.184173
Pteroglossus_beauharnaesii,216,29.43,0.16585
Pteroglossus_castanotis,270,30.91,0.166825
Pteroglossus_inscriptus,116.5,24.75,0.178683
Pyrilia_barrabandi,140,13.36,0.350573
Pyrrhura_roseifrons,62.1,11.45,0.374291
Pyrrhura_rupicola,75,11,0.344122
Querula_purpurata,114.5,18.92,0.172067
Ramphastos_tucanus,694.5,38.76,0.160899
Ramphastos_vitellinus,358.8,32.65,0.142286
Ramphocelus_carbo,28,11.36,0.147908
Ramphocelus_nigrogularis,31,10.56,0.159883
Rupicola_peruvianus,244,20.92,0.121051
Saltator_aurantiirostris,42,12.68,0.156126
Saltator_coerulescens,54.9,13.61,0.144424
Saltator_grossus,44.2,14.19,0.174564
Saltator_maximus,47.7,12.99,0.176986
Schistochlamys_melanopis,33,10.07,0.154498
Selenidera_reinwardtii,166.8,25.94,0.177186
Snowornis_subalaris,81.2,16.02,0.227133
Steatornis_caripensis,408,31.33,0.403989
Tachyphonus_cristatus,19.8,8.07,0.189671
Tachyphonus_rufiventer,19,8.84,0.189369
Tangara_arthus,22,8.47,0.221498
Tangara_callophrys,22.9,7.77,0.242331
Tangara_chilensis,23,7.41,0.234499
Tangara_chrysotis,24,8.2,0.257542
Tangara_cyanicollis,17,7.68,0.224335
Tangara_cyanotis,15,6.76,0.230769
Tangara_gyrola,21,7.7,0.200404
Tangara_mexicana,20.5,7.85,0.242958
Tangara_nigrocincta,17,8.14,0.218022
Tangara_nigroviridis,17,7.83,0.233147
Tangara_parzudakii,28,8.99,0.231622
Tangara_punctata,15,6.84,0.205534
Tangara_ruficervix,19,7.62,0.238411
Tangara_schrankii,19,8.16,0.212996
Tangara_vassorii,18,8.03,0.228766
Tangara_velia,21,8.25,0.243893
Tangara_viridicollis,21,8.49,0.230627
Tangara_xanthocephala,19,7.31,0.222085
Tangara_xanthogastra,15,6.64,0.193003
Tersina_viridis,29,13.27,0.285294
Thlypopsis_sordida,17,7.92,0.140026
Thraupis_bonariensis,36,10.98,0.198357
Thraupis_cyanocephala,36,10.71,0.156606
Thraupis_episcopus,35,10.21,0.225901
Thraupis_palmarum,39,9.62,0.221551
Tityra_cayana,68.1,17.26,0.279138
Tityra_inquisitor,43.1,15.68,0.245283
Tityra_semifasciata,79.3,18.72,0.237744
Touit_huetii,60,9.49,0.423077
Trichothraupis_melanops,24.3,9.17,0.193548
Trogon_collaris,64.2,15.78,0.385714
Trogon_curucui,54,17.27,0.381119
Trogon_melanurus,114,21.79,0.366229
Trogon_personatus,63.4,15.95,0.370211
Trogon_violaceus,51.5,17.61,0.352797
Trogon_viridis,89.7,21.78,0.365998
Turdus_albicollis,54,10.42,0.205806
Turdus_chiguanco,93.3,13.46,0.223443
Turdus_fuscater,143,14.51,0.18254
Turdus_hauxwelli,69,13.22,0.227724
Turdus_ignobilis,63.9,11.92,0.217387
Turdus_leucops,62.4,12.32,0.261603
Turdus_nigriceps,52.7,11.71,0.2194
Turdus_serranus,84.9,13.26,0.207226
Xenopipo_holochlora,15.5,8.7,0.190767
Xenopipo_unicolor,15.5,10,0.190311
Zimmerius_bolivianus,11,6.52,0.1442
Zimmerius_cinereicapilla,11.8,7.1,0.170545
Zimmerius_gracilipes,7.2,5.84,0.117943
