Plant.species.code,Genus,Fruit.length.mm,Fruit.D1.mm,Fruit.D2.mm,Plant.height.m
Vaccinium_dependens,Vaccinium,5.49875,6.05375,NA,0.973427
Vaccinium_floribundum,Vaccinium,5.6525,5.8025,5.7425,1.292308
Vallea_stipularis,Vallea,13.255,10.565,10.635,7.75
Viburnum_ayavacense,Viburnum,9.4985,5.62,5.1935,8
Viburnum_hallii,Viburnum,6.910667,6.147333,5.906666667,5.454545
Viburnum_reticulatum,Viburnum,8.441333,6.620167,6.7465,7.714286
Viburnum_seemenii,Viburnum,9.635,6.205,6.145,5.4
Vismia_gracilis,Vismia,13.68033,10.4305,10.44533333,9.516667
Vismia_schultesii,Vismia,16.76874,11.77954,NA,11.75833
Wettinia_augusta,Wettinia,27.435,17.51,13.51,9.723077
Zanthoxylum_mantaro,Zanthoxylum,4.605,3.81,3.855,6.125
Zanthoxylum_riedelianum,Zanthoxylum,17.065,13.33,12.73,8.5
